id_tweet,text_tweet
1031757163998277633,"thank for repli the virtual machine i m tri to deploy is a window virtual machine with stan"
1031783625811849216,"aztechhelp an exist connect wa forcibl close by the remote host thi happen recent"
1031785286659923969,"aztechhelp ca n t restore data from azure backup got error that credenti are not valid"
1031795473861042182,"test of a free tier of iot hub i m get"
1031796365754392576,"aztechhelp how to emb powerbi report on mvc app"
1031796648261955589,sent
1031798616082378753,"ok thank am check on it"
1031799334763995137,"hi do you have ani update on thi"
1031799717812822016,"i been follow that example but it seem not work error message microsoft identitymodel clients"
1031803780835278848,"in differ subscript i see that env variable website hostname is not chang it s value whi"
1031809640214999041,"do you have the procedure to migrate data from an on premise na share to a na share in cloud is asr is support"
1031810619920531456,"azcommun in your price calcul for virtual machin i see value of core name core s did you mean core s"
1031813576858775552,"ye some of slot set are mark as sticki"
1031814126404870144,"can you let team validate thi request"
1031815656310751232,"ye but the issue is relat to azure portal use old api version number"
1031815720030625792,"but accord to thi rd parti doc website hostname variable is sticki to the slot so i would"
1031819665113329664,"hi in our arm templat we use api version 02 01 azure portal use 03 01"
1031821753046233088,"portal s website and my own azure web app are unreachable with error dns probe finished nmain tri"
1031825894724300800,"while i observe contradictori behavior website hostname is switch with a slot thu could not be"
1031826587321335808,"i use a public dn and seem to be work now thank"
1031827164663083008,"are you sure thi is azure resource manag relat it seem to be relat to azure portal"
1031827621674401792,"azure iot europe west seem to have major issu unable to manage devic use c"
1031829024614637568,"azhelp i ve creat a b2c tenant ad for a test and now want to delete it the check state that are"
1031830269127544833,"is there a problem with some azure portal one custom one is work fine but in mine i ca n t clic"
1031834389645275136,"ye i m use thi but ca n t find for sure where the azure"
1031836149638152192,"aztechhelp it seem that our cloud service can not be reach from russia and china is there an issu"
1031836662890983425,"thank i ve found which seem to be what i need just wa n t document veri well"
1031840399772606464,"here it is"
1031840687359225856,"hi simon have you reach out to our friend they may have some answer for you thank"
1031840690894827520,"aztechhelp hello doe azure database are automat backup"
1031841936108269568,"i mean i use the azure database sql server i creat an azure database and what am is doe my"
1031843415993012224,"thank i can see the app but i in tri to remove tenant i delet the b2c extension app i thin"
1031843603474259968,"hi martin our friend may have some answer for you thank"
1031843831291899904,thank
1031858033016676353,"guy i fail to understand that my request get throttl even when i m not way near the ru threshol"
1031868860469850112,"hey is there a limit to how mani vm can be creat on the free tier"
1031870379671748608,"could you please connect with us at askcosmosdb com and please share your s"
1031870590129504256,thank
1031878080330125312,"hi jamie our friend may be able to help thank"
1031879977078321152,"ani idea what to do fail to link vst organ lt uname gt to azure subscript lt guid gt more det"
1031884923995598848,"aztechhelp azure alert are not send e mail notif is there ani log i can check whi please help"
1031904966980464641,"i m not white but how can you allow such hate people to work from your office how can"
1031907466664189952,"aztechhelp hello i want to host my static website html css js so onli frontend execut someon"
1031908747122098177,"azhelp need help with my account"
1031912853584924672,"under monitor alert i have creat alert to notifi on admin chang on nsg howev it is not send notif email"
1031917166659084289,"i have follow wizard in azure portal under monitor alert i have create alert rule and action group"
1031917629475364865,"it is a brand new one"
1031917992089669632,"i do not believe that i have overlook anyth unless there are some addit set"
1031919214586671104,"hi jamie our friend may be able to help thank"
1031919239236608000,"we d be happi to take a look could you direct message us with more inform about your use case"
1031921446442938368,"hi i ca n t create a qna service right now because of the follow error do you have ani hint of wh"
1031921515233792002,"aztechhelp whi would i not see zr as a replic option for a new storage account i onli see the"
1031924982094483456,"i tri to change all the locat search locat website locat and insight locat and i st"
1031929843913351168,"azhelpmeone ha hijack my azure account and lock my cto and myself out what can i do"
1031930355350102016,"azhelp i need help someone forci acquir admin privileg to my azure account and lock us out what can i do"
1031933156952367105,"when use a web app from a docker contain do you guy check if latest or without a tag is updat period"
1031936310590590981,"day to go until the appserviceama twitter event thi is a great opportun to ask the product group direct question live"
1031943489238560768,"azhelp is it possible to use a custom dn name with servicebu instead of servicebus windows net"
1031946382771400704,"i will recreate alert tomorrow for a first look i do not think i have miss anyth is there any"
1031952884307582976,"hi i would like to know if there will be a time when element like classic virtual machin should b"
1031953809252208640,"thank to we are now able to sync our custom db to azure sql all million records"
1031954301852106752,"t minu hour be sure to catch the appserviceama tomorrow we ll be here with"
1031956101963702272,"t minu hour be sure to catch the appserviceama tomorrow we ll be here with"
1031958772573327360,"such a cool event is set up i love it that our custom have open line of commun to the"
1031959031294963713,"have an issue creat a vpn tunnel between azure and a cisco asa azure document ha been no help"
1031961107345358848,"such a cool event is set up i love it that our custom have open line of commun to the product tea"
1031967408901087233,"what s in store for python on azure appservice in the future appserviceama"
1031969399752871936,"such a cool event is set up i love it that our custom have open line of commun to the product tea"
1031973758607618048,"hey whi did my subscript all of sudden get disabl i had plenti of credit left veri frustrat"
1031981259700850688,done
1031984619912978432,"i have receiv zero messag noth in email no alert noth i tri to access my azure sql s"
1031985260219777024,"t minu hour be sure to catch the appserviceama tomorrow we ll be here with"
1031986044613406720,"is the templat resource an abandon project seem like it s been in preview for quite a while"
1031988048614092802,"on the left pane choose all servic search for templat"
1031991294384656384,"ani thought on when ak might be available in the south central us region"
1031994858486022144,"t minu hour be sure to catch the appserviceama tomorrow we ll be here with"
1032003407895318528,"when tri to upload the sql database is give thi error photo"
1032006107244445696,"no as i indic i had to figure out a workaround to get our product up again"
1032006527882674176,"t minu hour be sure to catch the appserviceama tomorrow we ll be here with"
1032006648863354880,"unable to login to the portal appear to be a failure to acquire author token from access"
1032019956982894592,"thank so if i remove the spend limit from my account right now and pay via debit card am i pay"
1032020468964966400,"such a cool event is set up i love it that our custom have open line of commun to the product tea"
1032021805580476416,thank
1032022051542843392,"aztechhelp when i make a new webapp i have an error can you help me gt az webapp up in tariat te"
1032028891999817728,"such a cool event is set up i love it that our custom have open line of commun to the product tea"
1032031894463029249,"hi been hack for a week look for a powershel script runbook to stop start vm s on a schedule"
1032033812916649984,"i am not get ani traction from can you please assist"
1032037352871477253,"i see a4 v2 under the low prioriti vm in the price calcul but when i go to change the size o"
1032040298300538881,"hi were you able to ert the database"
1032041926420299777,"our database individu wa busi today he is attempt it tomorrow morn thank you for the follow up"
1032043455936118785,"tuesazure whi tf to vst migrat is a low risk approach to start devop"
1032050362025308160,"t minu hour be sure to catch the appserviceama tomorrow we ll be here with"
1032053839073968128,"i m excit about this"
1032053946682986497,"t minu hour be sure to catch the appserviceama tomorrow we ll be here with"
1032054065902100480,"it would be awesome if you guy ad the abil to select multiple vm and start stop them a"
1032055226042220547,"azurehowtotuesday learn how to deploy continu and trigger webjob use the azure portal"
1032055298293358592,"join gaurav malhotra and as they discuss how you can use repositori with azure datafactori on this"
1032055378408689664,"azurehowtotuesday learn how to review quota amp metric for your app service plan and see how you can easili set up alert"
1032056045554696192,"azhelp i want to move my partner subscript to a new azure tenant the onli thing run on the"
1032059392932294656,"lol typic custom care response ha haaaa"
1032070515597430786,"thank sent the detail over"
1032071389862354944,"will do"
1032074891707772930,"your support is terrible pm me asap to get actual help i wa told to submit a support ticket but t"
1032075564100636673,"ye everi time i want to access my e mail i am ask to reset my password thi was"
1032080634653683712,"team i need your support on my azure bill could you please help me on thi"
1032080968759300099,"please check your dm i will message u on dm"
1032087271502241792,"can you tri close the browser or clear all cache"
1032092577036726273,"aztechhelp use nuget package can not recreate a directori after it ha been creat"
1032094724625182720,"even after it ha been delet"
1032100660144091136,"t minu hour be sure to catch the appserviceama tomorrow we ll be here with"
1032102031383658497,"no complet lock out"
1032102330177470465,"i am the owner of the account but my cto ha admin privileg they forci obtain hi password"
1032103199799369729,"is there a way to monitor mount point use the linux diagnost agent instal on the linux vm"
1032145186510569473,"i ve submit a support request thank you"
1032158897597952000,"aztechhelp i m run a lemp in a centos7 vm the iop of that os disk is onli i did n t see an"
1032160810838175744,"he is there ani way to look into the doc of differ api version onli support the latest"
1032168968079851521,"azhelp hello team can we emb power bi on webapp api"
1032169293260251136,"i did receiv alert with h delay look like setup wa correct on my end i will reconfigure aler"
1032171375329505281,"aztechhelp hi all i think we have a problem due to the last update regres dure last week"
1032175382047457280,"aztechhelp tri to raise a ticket but can not ani reason whi our credit on a b2 should instantane"
1032177910835281920,"it is not work h delay with send email is below eectat for ani alert system"
1032181939044864000,"the reset pw function in b2c azure portal doe n t seem to work known issue is there a workaround available"
1032186429890277377,"unable to post anyth bodi text can not contain imag or link until we are able to verifi your ac"
1032186727375548417,"t minu hour be sure to catch the appserviceama tomorrow we ll be here with"
1032187229794390017,"we have a b2c tenant and want to reset the password of a local b2c user the issue wa descri"
1032187981669457920,"when use the iot hub there is a question about schedule job what doe complete mean"
1032188089559437312,"for example use the desir properti to instal the app to the device when the app is instal"
1032195399858225152,"excel thank you for escal it for me"
1032200934204604416,"thank you can find the post on"
1032203312689504256,"is thi known by you"
1032206577204387841,"sooo that s a ye then"
1032208754090168321,"thank you hope you get it fix fast"
1032208864127664128,"i have app servic all share a d1 app service plan the azure portal wo n t let me assign custom domain name t"
1032208989994577920,"thank the ad is manag by anoth compani consult for our custom they tell me tho"
1032209410385489920,"my question is can standard saml be use for role bas author send app role a"
1032209786778083328,"t minu hour be sure to catch the appserviceama tomorrow we ll be here with"
1032210955894226945,"they do inde but i m look to connect to table storage not bl"
1032211882898333696,"look like i just need to sign out of the portal and back in the option is appear now thank anyway"
1032213689112309760,"thank you for your reply i just refer to the document in the link you said but there is no de"
1032214351074222080,"new function service is fail over http wa ok a while ago but suddenli get fail connectio"
